Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
5,Bloco 6 meses,Média global,6,44.60650406504067,47.735068906308165,8.325391560632434
5,Bloco 6 meses,Linear,6,45.08958333333333,51.433590627056816,7.988140943860393
5,Bloco 6 meses,PCHIP,6,49.68060586001309,54.37525979112516,8.915099410404991
5,Bloco 6 meses,Harmônica log,6,9.989512422397183,11.636048362580093,1.812885126995068
5,Bloco 6 meses,Harmônica + resíduo,6,21.967518942619336,28.329118855548607,4.029751218423185
6,Aleatório 10%,Média global,8,137.76562500000003,157.51530443995753,20.85742200208061
6,Aleatório 10%,Linear,8,44.56875000000001,49.39878505872162,6.5897195976605065
6,Aleatório 10%,PCHIP,8,42.77745044587158,48.313173785132705,6.411037844722861
6,Aleatório 10%,Harmônica log,8,26.545790321171495,30.44641376807819,4.106202946716317
6,Aleatório 10%,Harmônica + resíduo,8,33.957734549642666,41.32376952319041,5.756817838800152
6,Aleatório 20%,Média global,16,89.03125,112.17723420997685,14.489074930562202
6,Aleatório 20%,Linear,16,34.42291666666668,43.99924399603046,6.020994142204106
6,Aleatório 20%,PCHIP,16,34.260006039724516,44.85175985173691,6.111286831134433
6,Aleatório 20%,Harmônica log,16,25.557904435896013,30.48714346816901,4.4100016800792545
6,Aleatório 20%,Harmônica + resíduo,16,29.558852229311494,38.48751032781177,5.232117076041747
6,Bloco 3 meses,Média global,3,125.92392156862745,126.10951422782261,27.578946810670786
6,Bloco 3 meses,Linear,3,48.3733333333333,49.16165714592349,10.613321834634883
6,Bloco 3 meses,PCHIP,3,52.8008163536476,53.45420243003835,11.581485965320597
6,Bloco 3 meses,Harmônica log,3,14.473919730349715,14.865388984982756,3.1588735218244435
6,Bloco 3 meses,Harmônica + resíduo,3,12.523047140293405,14.119163247889293,2.73361172122045
6,Bloco 6 meses,Média global,6,143.27901234567904,149.8762409489091,33.53764311139953
6,Bloco 6 meses,Linear,6,66.03333333333332,79.3373388344563,16.043737393093792
6,Bloco 6 meses,PCHIP,6,66.03333333333332,79.3373388344563,16.043737393093792
6,Bloco 6 meses,Harmônica log,6,19.195528067957884,23.818805890923873,4.575987484469473
6,Bloco 6 meses,Harmônica + resíduo,6,25.352793832744748,29.064623561869748,5.841116790528722
7,Aleatório 10%,Média global,8,106.92531250000003,133.23345899327435,15.594409043494977
7,Aleatório 10%,Linear,8,29.80208333333332,44.29960692388942,4.262082542083284
7,Aleatório 10%,PCHIP,8,29.25739157508596,44.83128602193835,4.1985465452280115
7,Aleatório 10%,Harmônica log,8,29.979659110645876,35.20323444341689,4.544241956378369
7,Aleatório 10%,Harmônica + resíduo,8,41.39597227601553,50.65236800424247,6.577707467579019
7,Aleatório 20%,Média global,16,91.42499999999998,104.0825586022869,17.933325272581836
7,Aleatório 20%,Linear,16,35.00156250000001,44.04001499780564,6.539798934219379
7,Aleatório 20%,PCHIP,16,34.378153720401485,43.42760927053969,6.452846114025304
7,Aleatório 20%,Harmônica log,16,16.154900506541438,20.202589810049787,3.1740401095194395
7,Aleatório 20%,Harmônica + resíduo,16,25.988910948899907,32.98427362268152,5.17320213518947
7,Bloco 3 meses,Média global,3,117.09411764705878,117.73900113192418,16.900037800002245
7,Bloco 3 meses,Linear,3,160.20000000000002,160.67196395140004,23.195481320856445
7,Bloco 3 meses,PCHIP,3,160.20000000000002,160.67196395140004,23.195481320856445
7,Bloco 3 meses,Harmônica log,3,31.124703997952412,41.98930871209757,4.515985676700165
7,Bloco 3 meses,Harmônica + resíduo,3,49.117188032804314,57.41337120645996,7.115806463810608
7,Bloco 6 meses,Média global,6,66.46260162601628,72.77268011042398,13.220818678843434
7,Bloco 6 meses,Linear,6,37.72916666666666,48.61447293930755,6.996362788535443
7,Bloco 6 meses,PCHIP,6,34.54226499559416,46.076666486503505,6.379860532292847
7,Bloco 6 meses,Harmônica log,6,8.28765650447959,10.96819591057005,1.633155958803118
7,Bloco 6 meses,Harmônica + resíduo,6,9.831459037053671,15.632843714279726,1.9713774993027882
8,Aleatório 10%,Média global,8,91.98750000000001,109.18755089491393,15.710016251278347
8,Aleatório 10%,Linear,8,32.91875,37.70417334327858,5.460079710469039
8,Aleatório 10%,PCHIP,8,32.92723412145439,39.56122435213061,5.565484477697461
8,Aleatório 10%,Harmônica log,8,9.983008172083856,11.809661583884402,1.7149645854971536
8,Aleatório 10%,Harmônica + resíduo,8,26.840731415146244,32.666206836564,4.81824331261199
8,Aleatório 20%,Média global,16,64.71909722222225,82.54753629549941,10.742058856873605
8,Aleatório 20%,Linear,16,32.2625,43.48759305825054,5.183934397482834
8,Aleatório 20%,PCHIP,16,30.46331026855356,42.35332888598011,4.9476679817952105
8,Aleatório 20%,Harmônica log,16,14.31601715664074,18.530753916641657,2.427423667191534
8,Aleatório 20%,Harmônica + resíduo,16,18.22508417244608,24.628928724292322,3.112945916500911
8,Bloco 3 meses,Média global,3,44.72784313725489,48.80297681279368,8.428612345571539
8,Bloco 3 meses,Linear,3,28.466666666666622,31.044940543240394,5.361335195836328
8,Bloco 3 meses,PCHIP,3,23.704166666666612,27.734643367246132,4.499682702476403
8,Bloco 3 meses,Harmônica log,3,9.554489863994812,11.45535991693444,1.7822165921965232
8,Bloco 3 meses,Harmônica + resíduo,3,14.246133661211994,16.47637373828442,2.6200816014118553
8,Bloco 6 meses,Média global,6,33.76747967479671,44.198025443489136,5.439871837074775
8,Bloco 6 meses,Linear,6,41.92916666666662,50.60360967855946,6.86262084747655
8,Bloco 6 meses,PCHIP,6,44.02975294581703,49.80941013248945,7.337338442171572
8,Bloco 6 meses,Harmônica log,6,12.9368597754379,14.391012186088822,2.194162000408456
8,Bloco 6 meses,Harmônica + resíduo,6,20.756743104658124,25.97878086249057,3.571116504098986
9,Aleatório 10%,Média global,8,67.95031645569621,76.84636922866054,11.56280811650289
9,Aleatório 10%,Linear,8,40.47291666666666,55.336348123192145,6.991866534987462
9,Aleatório 10%,PCHIP,8,39.686521318299,56.10979346796083,6.85596789072473
9,Aleatório 10%,Harmônica log,8,26.4017320201091,34.07574545942582,4.408906854430859
9,Aleatório 10%,Harmônica + resíduo,8,40.469161443346735,48.5689358106939,6.932171931280168
9,Aleatório 20%,Média global,16,74.95625000000001,92.48886812498473,14.39596120520993
9,Aleatório 20%,Linear,16,31.943333333333307,41.12655258805163,5.831468243513841
9,Aleatório 20%,PCHIP,16,33.82034772295096,43.54206263975372,6.118566157276882
9,Aleatório 20%,Harmônica log,16,20.85794563217292,26.871938389267058,3.729347910388206
9,Aleatório 20%,Harmônica + resíduo,16,27.511515596244816,37.87135617689096,4.951082937229459
9,Bloco 3 meses,Média global,3,113.88000000000005,114.192736488214,24.33782846476097
9,Bloco 3 meses,Linear,3,31.849999999999984,40.75859316348721,6.751592973907853
9,Bloco 3 meses,PCHIP,3,48.92020189585128,55.84461932881436,10.40280380565337
9,Bloco 3 meses,Harmônica log,3,19.009129081071574,24.625588010176564,4.031302230271862
9,Bloco 3 meses,Harmônica + resíduo,3,33.45105256117247,44.57024750603075,7.070333839334141
9,Bloco 6 meses,Média global,6,79.58395061728389,86.96035952630224,16.26812597344063
9,Bloco 6 meses,Linear,6,56.83148148148152,61.807068562421236,11.574920515939425
9,Bloco 6 meses,PCHIP,6,67.66001125197899,74.36605578675233,13.822311547547459
9,Bloco 6 meses,Harmônica log,6,17.4028596519328,23.58463389776516,3.3554981055386395
9,Bloco 6 meses,Harmônica + resíduo,6,16.44629596716672,25.151829743995346,3.1106219899480037
10,Aleatório 10%,Média global,8,72.65993589743587,94.06717036826072,12.681944548179086
10,Aleatório 10%,Linear,8,59.21107142857145,76.16152833596101,11.636782550532738
10,Aleatório 10%,PCHIP,8,54.06037360616548,73.61584396622172,10.828892981153555
10,Aleatório 10%,Harmônica log,8,39.553376550794475,51.520786451293574,7.6995086208265615
10,Aleatório 10%,Harmônica + resíduo,8,38.692231417453065,50.015962153103686,7.583471919123855
10,Aleatório 20%,Média global,16,102.04755434782612,115.64039316122219,18.189806771411046
10,Aleatório 20%,Linear,16,37.0015625,48.53687918988051,7.160980541858847
10,Aleatório 20%,PCHIP,16,34.98692386571777,47.22822205617313,6.939167639459947
10,Aleatório 20%,Harmônica log,16,22.639488974557963,35.542400612405594,4.490552661211762
10,Aleatório 20%,Harmônica + resíduo,16,28.79353958335486,39.55949886577783,5.8560399597587365
10,Bloco 3 meses,Média global,3,42.858823529411744,51.85208534210806,8.307769319366638
10,Bloco 3 meses,Linear,3,46.54999999999999,54.650003812137705,8.389578253528212
10,Bloco 3 meses,PCHIP,3,46.54999999999999,54.542380370776044,8.391803909163285
10,Bloco 3 meses,Harmônica log,3,6.478664424999863,6.638340163815875,1.2122257771429148
10,Bloco 3 meses,Harmônica + resíduo,3,16.64984409980703,18.01118194411883,3.154476214293305
10,Bloco 6 meses,Média global,6,58.31626016260166,65.12744667519452,11.38752520411507
10,Bloco 6 meses,Linear,6,47.43333333333331,57.814555754955485,8.389764579419753
10,Bloco 6 meses,PCHIP,6,47.43333333333329,55.60696741825952,8.478626846022213
10,Bloco 6 meses,Harmônica log,6,17.723406833896075,23.561822361750828,3.3716602349746654
10,Bloco 6 meses,Harmônica + resíduo,6,16.48983604329202,24.409634528366198,3.123691901417662
11,Aleatório 10%,Média global,8,92.15174050632913,108.23989414511524,16.45091502455266
11,Aleatório 10%,Linear,8,34.25624999999999,44.596107593600586,6.641921275151594
11,Aleatório 10%,PCHIP,8,33.47172264980191,46.2898563432957,6.594214359973942
11,Aleatório 10%,Harmônica log,8,18.830413911446513,23.026794345628204,3.570270751588647
11,Aleatório 10%,Harmônica + resíduo,8,31.10028644099014,40.0197111740273,5.914764113621225
11,Aleatório 20%,Média global,16,74.23214285714278,83.02384705981909,14.62807064733841
11,Aleatório 20%,Linear,16,26.215624999999996,36.79457967894184,4.86326473391486
11,Aleatório 20%,PCHIP,16,27.80644828701145,38.56896697974559,5.176645338105816
11,Aleatório 20%,Harmônica log,16,16.70349795536895,25.37793474525158,2.9691840557062803
11,Aleatório 20%,Harmônica + resíduo,16,22.52507211159906,33.85810590462199,4.075674188845721
11,Bloco 3 meses,Média global,3,135.65568627450975,135.8126679443555,30.330319116873955
11,Bloco 3 meses,Linear,3,31.76666666666667,36.853448504402785,7.131522472745126
11,Bloco 3 meses,PCHIP,3,44.213022252497716,49.55457080544773,9.925919541648694
11,Bloco 3 meses,Harmônica log,3,16.95644350916213,22.204127409723846,3.79145260609604
11,Bloco 3 meses,Harmônica + resíduo,3,34.83734736297796,41.019941254057095,7.809820298958611
11,Bloco 6 meses,Média global,6,79.58395061728389,86.96035952630224,16.26812597344063
11,Bloco 6 meses,Linear,6,56.83148148148152,61.807068562421236,11.574920515939425
11,Bloco 6 meses,PCHIP,6,67.66001125197899,74.36605578675233,13.822311547547459
11,Bloco 6 meses,Harmônica log,6,17.4028596519328,23.58463389776516,3.3554981055386395
11,Bloco 6 meses,Harmônica + resíduo,6,16.44629596716672,25.151829743995346,3.1106219899480037
12,Aleatório 10%,Média global,8,76.73687499999994,88.3003870054514,15.194442940479675
12,Aleatório 10%,Linear,8,20.30625,27.059996997412988,3.721877257962775
12,Aleatório 10%,PCHIP,8,21.274039834685794,28.419534844995813,3.9340728565788337
12,Aleatório 10%,Harmônica log,8,22.55561176906958,29.621340053831112,3.993920331648143
12,Aleatório 10%,Harmônica + resíduo,8,34.54624044388074,41.50950924774507,6.325229278704994
12,Aleatório 20%,Média global,16,75.15267857142857,87.88982406097641,13.038771199685991
12,Aleatório 20%,Linear,16,34.82291666666667,46.84130390730077,6.387199582684964
12,Aleatório 20%,PCHIP,16,33.75755140751285,47.17229066222919,6.217747982552164
12,Aleatório 20%,Harmônica log,16,29.349291062175865,41.7144144223858,5.2274790555466435
12,Aleatório 20%,Harmônica + resíduo,16,39.40249290319222,50.71286943932686,6.955988783565653
12,Bloco 3 meses,Média global,3,100.76190476190474,104.21991335697824,21.25710234541352
12,Bloco 3 meses,Linear,3,26.888888888888896,32.69795553694904,5.786915697302762
12,Bloco 3 meses,PCHIP,3,26.824691358024683,32.67697004443442,5.7706606020652575
12,Bloco 3 meses,Harmônica log,3,23.124084343669022,30.567120391689755,4.593748053343362
12,Bloco 3 meses,Harmônica + resíduo,3,22.306367809110117,34.02869402090625,4.389670491341135
12,Bloco 6 meses,Média global,6,107.00555555555552,118.96541280743925,15.519907518981938
12,Bloco 6 meses,Linear,6,62.77222222222224,77.49040920345254,10.41366183531069
12,Bloco 6 meses,PCHIP,6,77.91121719762516,92.62393940728977,12.844481924754362
12,Bloco 6 meses,Harmônica log,6,33.89041706944632,40.12933814764304,5.3165046361144555
12,Bloco 6 meses,Harmônica + resíduo,6,39.68303670256811,44.27272275617246,6.108212313818312
13,Aleatório 10%,Média global,8,97.34999999999998,112.9241682625016,21.036967512804377
13,Aleatório 10%,Linear,8,34.97625,44.90467194513284,7.339870922257605
13,Aleatório 10%,PCHIP,8,35.33341328653954,44.964098583828864,7.4287071970295955
13,Aleatório 10%,Harmônica log,8,22.71920517831321,28.669664894448065,4.787495332900662
13,Aleatório 10%,Harmônica + resíduo,8,23.396759467939575,29.90258457520715,4.8323948467723365
13,Aleatório 20%,Média global,16,98.45607142857142,118.9363937925114,19.020381943663633
13,Aleatório 20%,Linear,16,34.094374999999985,42.36438089657394,6.91704019684064
13,Aleatório 20%,PCHIP,16,34.69178319107185,43.07409234955347,7.115017503779167
13,Aleatório 20%,Harmônica log,16,23.866793406543678,29.431523038975353,4.635207523692103
13,Aleatório 20%,Harmônica + resíduo,16,29.915017981695748,39.72076428150192,6.143007392387702
